model,ratio,d_o,d_c,c_o,c_c,fpr_o,fpr_c,fnr_o,fnr_c,n_reclassified,n_pos_o,n_neg_o,n_pos_c,n_neg_c
openai,0.3,3.576,3.947,-0.096,0.035,0.045,0.022,0.027,0.024,20,150,849,170,829
openai,0.45,3.045,3.437,-0.437,-0.279,0.138,0.074,0.024,0.022,40,418,579,458,539
openai,0.6,2.274,2.561,-0.626,-0.506,0.304,0.218,0.038,0.036,36,653,329,689,293
openai,0.75,1.733,1.855,-1.059,-1.007,0.577,0.532,0.026,0.026,15,757,156,772,141
openai,0.9,1.121,1.139,-1.577,-1.570,0.854,0.850,0.014,0.014,1,214,41,215,40
qwen,0.3,2.649,3.601,-0.124,0.149,0.115,0.025,0.071,0.047,77,155,838,232,761
qwen,0.45,2.333,2.989,-0.394,-0.155,0.220,0.089,0.058,0.049,82,412,574,494,492
qwen,0.6,2.082,2.316,-0.485,-0.389,0.288,0.220,0.063,0.060,28,668,319,696,291
qwen,0.75,1.579,1.710,-0.689,-0.634,0.460,0.412,0.069,0.068,16,781,198,797,182
qwen,0.9,0.508,0.508,-0.929,-0.929,0.800,0.800,0.108,0.108,0,37,5,37,5
