config	gen_max	ver_max	n	trunc_rate	parsed_rate	gen_acc	lazy_accept_rate
gen_heavy	40	120	30	1.000	0.000	0.000	0.000
gen_heavy	80	80	30	1.000	0.000	0.000	0.200
gen_heavy	120	40	30	0.600	0.400	0.367	0.100
gen_heavy	144	16	30	0.400	0.633	0.600	0.000
gen_light	40	120	30	1.000	0.000	0.000	0.000
gen_light	80	80	30	1.000	0.000	0.000	0.267
gen_light	120	40	30	0.500	0.500	0.467	0.067
gen_light	144	16	30	0.300	0.700	0.633	0.000
gen_medium	40	120	30	1.000	0.000	0.000	0.033
gen_medium	80	80	30	1.000	0.000	0.000	0.267
gen_medium	120	40	30	0.567	0.433	0.433	0.033
gen_medium	144	16	30	0.333	0.667	0.633	0.000
